Gene_ID,Genes,AMP_log2FC,TET_log2FC,KAN_log2FC,CHL_log2FC,CPR_log2FC,DOX_log2FC,ERY_log2FC,FOX_log2FC,TRM_log2FC,NAL_log2FC,NIT_log2FC,TOB_log2FC,AMP_pvalue,TET_pvalue,KAN_pvalue,CHL_pvalue,CPR_pvalue,DOX_pvalue,ERY_pvalue,FOX_pvalue,TRM_pvalue,NAL_pvalue,NIT_pvalue,TOB_pvalue,AMP_qvalue,TET_qvalue,KAN_qvalue,CHL_qvalue,CPR_qvalue,DOX_qvalue,ERY_qvalue,FOX_qvalue,TRM_qvalue,NAL_qvalue,NIT_qvalue,TOB_qvalue
b0799,dinG,-0.241368894,-1.276306618,0.692,-0.071,-0.774,-0.02,-0.227,-0.793,0.444,-0.069,-0.277,-0.395,0.710305707,0.257936534,0.039065152,0.824334019,0.022433075,0.950117417,0.480086148,0.019657817,0.17366327,0.829199874,0.39011355,0.224192338,0.937957386,0.647803132,0.11874259,0.891093464,0.06204463,0.992129412,0.629856613,0.118332347,0.471810831,0.941398262,0.640453796,0.465047621
b3926,glpK,-0.152288329,-4.845088685,1.318,1.536,-0.67,0.231,1.712,0.04,-0.242,1.398,-0.231,-2.456,0.515736477,0.002359903,0.000370523,6.65E-05,0.045127314,0.472469062,1.68E-05,0.90044248,0.451891896,0.000197196,0.472469062,7.10E-08,0.795338416,0.047849222,0.005335937,0.001360588,0.103388696,0.843302338,0.000203374,0.956525403,0.722556313,0.002082665,0.731386932,1.82E-06
b0474,adk,-1.183711722,0.246515982,0.181,-1.36,0.219,-0.057,-0.17,1.562,0.467,0.446,0.197,-0.221,0.007935087,0.476456588,0.572622755,0.000266112,0.495532514,0.858535187,0.59602579,5.42E-05,0.153295756,0.171810488,0.539433713,0.491644572,0.084339964,0.775052196,0.731780298,0.004538685,0.582867747,0.963160734,0.717568305,0.001512634,0.459424677,0.435915866,0.7488001,0.702022715
b0528,ybcJ,0.169675048,0.114683886,0.451,-0.191,0.594,-0.014,0.263,-0.366,-0.117,0.616,0.149,-0.088,0.138201441,0.541451015,0.167247512,0.551758508,0.07306245,0.965069808,0.414141823,0.258990444,0.714777681,0.063725402,0.641951209,0.783283559,0.555720134,0.816146971,0.324671348,0.732451059,0.147566923,0.99345128,0.583218072,0.516299131,0.86051346,0.227484867,0.814376121,0.87978643
b2093,gatB,-1.432088921,-7.804195438,0.694,1.23,0.643,1.374,1.607,0.258,-1.376,3.309,2.128,-2.635,0.003584416,2.85E-06,0.038552311,0.000739708,0.053714141,0.000238295,3.81E-05,0.422945235,0.000234566,3.23E-10,7.28E-07,2.12E-08,0.039237676,5.69E-05,0.118355593,0.009226987,0.116128459,0.00522547,0.00040324,0.649220936,0.006546513,1.98E-08,3.19E-05,8.34E-07
b0529,folD,-0.322015687,0.393925003,0.246,0.109,0.577,-0.186,0.051,0.103,0.402,0.112,0.044,-0.106,0.332919749,0.629992824,0.444545156,0.733460722,0.081074152,0.562140765,0.873284185,0.747585083,0.216351262,0.726434095,0.890550517,0.740511243,0.667979276,0.870885895,0.606557168,0.830894619,0.1565394,0.845966739,0.908807609,0.866070266,0.509616165,0.930464636,0.976425031,0.85637545
b2092,gatC,-2.168008956,-7.474111011,0,0,0,0,0,0,0,0,0,0,0.051629988,2.20E-11,0,0,0,0,0,0,0,0,0,0,0.752058346,6.11E-09,0,0,0,0,0,0,0,0,0,0
b1260,trpA,-3.190999713,-1.230709153,-3.405,1.793,1.688,-2.041,2.012,0.049,0.83,-2.336,1.544,-1.199,2.90E-06,0.269445523,1.86E-10,9.00E-06,2.03E-05,1.38E-06,1.71E-06,0.878211253,0.01514755,1.64E-07,6.24E-05,0.000942621,9.69E-05,0.661411008,1.90E-08,0.000230161,0.000310873,7.07E-05,3.29E-05,0.951999096,0.178857609,4.19E-06,0.001008698,0.007234617
b3701,d0N,-0.502277777,-0.023044895,0.683,0.446,0.5,0.246,0.247,-0.872,0.266,-0.065,0.485,0.211,0.408061739,0.704615029,0.041450153,0.171810488,0.127501744,0.444545156,0.442719883,0.011210247,0.408915658,0.838952385,0.138744073,0.511257972,0.84735853,0.899368403,0.124756834,0.418617617,0.211583975,0.814202891,0.595962283,0.095598493,0.685995121,0.943437297,0.330189383,0.713437261
b0636,rlmH,1.638297273,0.969535183,-0.039,-0.083,0.072,-0.448,0.085,0.05,-0.008,-0.367,1.019,-0.537,0.057635496,0.042451808,0.902918115,0.795296483,0.821903775,0.16997351,0.790484915,0.875747077,0.980035308,0.2577274,0.003771502,0.1029713,0.486607027,0.226404849,0.933319399,0.865801491,0.858246459,0.552391811,0.866710246,0.951999096,0.985741323,0.541933643,0.026926769,0.303963356
