Gene ID,Genes,WT1,WT2,AMP1,AMP2,TET1,TET2
gene:b0799,dinG,7.263,26.149,11.301,14.617,18.497,19.803
gene:b3926,glpK,39.703,274.211,138.545,234.552,12.812,33.119
gene:b0474,adk,1592.1,114.535,3025.68,948.013,1018.24,1453.21
gene:b0528,ybcJ,167.381,41.554,115.816,160.958,173.774,164.482
gene:b2093,gatB,2478.9,14549.4,2641.49,2328.28,147.522,148.469
gene:b0529,folD,83.666,15.572,76.372,26.474,91.177,199.54
gene:b2092,gatC,220.31,1141.91,352.936,141.115,13.635,16.21
gene:b1260,trpA,199.837,25.503,216.811,373.797,56.106,73.859
gene:b3701,dnaN,84.232,85.751,158.059,23.531,132.092,304.353
gene:b0636,rlmH,106.388,2.551,306.039,82.89,171.096,152.979
gene:b4371,rsmC,12.027,14.463,10.961,2.685,2.729,8.153
gene:b3430,glgC,196.232,80.771,181.942,46.867,153.385,45.951
gene:b0099,mutT,16.769,11.223,47.004,10.719,67.803,34.646
gene:b2794,queF,74.815,7.578,30.476,14.958,42.879,46.29
gene:b0902,pflA,296.945,257.267,246.582,74.501,480.644,327.187
gene:b0061,araD,0.112,14.916,9.329,25.071,2.375,1.684
gene:b1261,trpB,162.325,21.554,257.001,384.083,58.182,77.57
gene:b3167,rbfA,44.057,36.059,133.895,14.784,186.948,498.583
gene:b3057,bacA,6.608,5.514,9.333,51.66,4.116,11.524
gene:b1530,marR,50.741,53.913,67.293,32.242,6405.73,821.002
gene:b0342,lacA,3.526,3.027,4.72,26.955,5.687,3.574
gene:b2094,gatA,11903.4,65441.2,8859.26,10702.4,873.864,602.119
gene:b3744,asnA,6.103,83.481,17.354,10.272,31.765,5.495
gene:b4350,hsdR,45.427,101.768,86.008,33.116,99.079,38.88
gene:b0523,purE,14.838,0.593,4.125,18.988,2.417,24.412
gene:b3429,glgA,198.606,94.4,229.422,41.269,178.456,62.903
gene:b2411,ligA,9.013,8.445,17.582,8.942,22.539,60.551
gene:b2168,fruK,18.752,23.576,33.899,15.435,53.419,13.698
